,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
585,75739-60672,SS,Tim,Tim Anderson,Anderson,10.513043610945992,23.0,3600,CWS@BOS,CWS,BOS,,,,,1.0,SS/UTIL
586,75739-79125,OF,Kyle,Kyle Tucker,Tucker,9.715384850135216,26.0,3600,DET@HOU,HOU,DET,,,,,6.0,OF/UTIL
587,75739-79756,OF,Ronald,Ronald Acuna Jr.,Acuna Jr.,7.857142857142857,7.0,3600,MIL@ATL,ATL,MIL,,,,,1.0,OF/UTIL
589,75739-12900,1B,Brandon,Brandon Belt,Belt,11.5,17.0,3500,STL@SF,SF,STL,IL,Illness,,,,C/1B/UTIL
590,75739-68514,3B/2B,Ryan,Ryan McMahon,McMahon,9.745833079020182,24.0,3500,COL@ARI,COL,ARI,,,,,5.0,2B/3B/UTIL
591,75739-52147,OF/3B,Kris,Kris Bryant,Bryant,7.949999809265137,16.0,3500,COL@ARI,COL,ARI,IL,Back,,,0.0,3B/OF/UTIL
592,75739-68587,2B,Ozzie,Ozzie Albies,Albies,9.862962510850696,27.0,3500,MIL@ATL,ATL,MIL,,,,,5.0,2B/UTIL
593,75739-13567,2B/1B/3B,DJ,DJ LeMahieu,LeMahieu,9.308695917544158,23.0,3500,TEX@NYY,NYY,TEX,O,Postponed,,,,C/1B/2B/3B/UTIL
594,75739-101910,OF,Connor,Connor Joe,Joe,11.704348356827444,23.0,3500,COL@ARI,COL,ARI,,,,,1.0,OF/UTIL
595,75739-79393,SS/OF,Fernando,Fernando Tatis Jr.,Tatis Jr.,14.41769268329327,130.0,3500,MIA@SD,SD,MIA,IL,Wrist,,,,SS/OF/UTIL
596,75739-13229,OF,Charlie,Charlie Blackmon,Blackmon,10.772727272727272,22.0,3400,COL@ARI,COL,ARI,,,,,2.0,OF/UTIL
597,75739-52187,1B,Ji-Man,Ji-Man Choi,Choi,11.026666259765625,15.0,3400,TB@SEA,TB,SEA,IL,Elbow,,,,C/1B/UTIL
598,75739-13342,OF,Nick,Nick Castellanos,Castellanos,10.303845919095552,26.0,3400,NYM@PHI,PHI,NYM,O,Postponed,,,,OF/UTIL
600,75739-13864,OF,Joc,Joc Pederson,Pederson,10.484210365696958,19.0,3400,STL@SF,SF,STL,,,,,,OF/UTIL
601,75739-108450,2B/OF,Tommy,Tommy Edman,Edman,12.808333079020182,24.0,3400,STL@SF,STL,SF,,,,,,2B/OF/UTIL
602,75739-102400,OF,Julio,Julio Rodriguez,Rodriguez,8.9,25.0,3300,TB@SEA,SEA,TB,,,,,,OF/UTIL
603,75739-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,9.016666412353516,24.0,3300,TEX@NYY,NYY,TEX,O,Postponed,,,,OF/UTIL
604,75739-12928,1B,Eric,Eric Hosmer,Hosmer,11.570833841959637,24.0,3300,MIA@SD,SD,MIA,,,,,,C/1B/UTIL
605,75739-13099,C,Travis,Travis d'Arnaud,d'Arnaud,9.589473523591694,19.0,3300,MIL@ATL,ATL,MIL,,,,,6.0,C/1B/UTIL
606,75739-54068,OF,Hunter,Hunter Renfroe,Renfroe,8.433333079020182,24.0,3300,MIL@ATL,MIL,ATL,,,,,7.0,OF/UTIL
607,75739-52175,1B,Matt,Matt Olson,Olson,10.411111337167243,27.0,3300,MIL@ATL,ATL,MIL,,,,,2.0,C/1B/UTIL
608,75739-21609,OF,Christian,Christian Yelich,Yelich,11.744000244140626,25.0,3300,MIL@ATL,MIL,ATL,,,,,3.0,OF/UTIL
609,75739-118210,2B/SS/3B,Jake,Jake Cronenworth,Cronenworth,9.26153857891376,26.0,3300,MIA@SD,SD,MIA,,,,,,2B/3B/SS/UTIL
610,75739-85504,2B/OF,Brandon,Brandon Lowe,Lowe,8.092000122070312,25.0,3300,TB@SEA,TB,SEA,,,,,,2B/OF/UTIL
612,75739-12113,3B,Josh,Josh Donaldson,Donaldson,8.104166666666666,24.0,3300,TEX@NYY,NYY,TEX,O,Postponed,,,,3B/UTIL
613,75739-49523,1B,Jose,Jose Abreu,Abreu,8.432000122070313,25.0,3200,CWS@BOS,CWS,BOS,,,,,3.0,C/1B/UTIL
614,75739-16951,3B,Anthony,Anthony Rendon,Rendon,9.583333333333334,24.0,3200,WSH@LAA,LAA,WSH,,,,,,3B/UTIL
616,75739-17139,C,J.T.,J.T. Realmuto,Realmuto,9.254166920979818,24.0,3200,NYM@PHI,PHI,NYM,O,Postponed,,,,C/1B/UTIL
617,75739-82734,OF,Luis,Luis Robert,Robert,10.27777777777778,18.0,3200,CWS@BOS,CWS,BOS,,,,,4.0,OF/UTIL
618,75739-52158,2B/SS,Trevor,Trevor Story,Story,7.861905052548363,21.0,3200,CWS@BOS,BOS,CWS,,,,,2.0,2B/SS/UTIL
619,75739-13354,2B,Cesar,Cesar Hernandez,Hernandez,8.248148035120082,27.0,3200,WSH@LAA,WSH,LAA,,,,,,2B/UTIL
621,75739-21885,SS/2B,Javier,Javier Baez,Baez,7.95882370892693,17.0,3200,DET@HOU,DET,HOU,,,,,2.0,2B/SS/UTIL
622,75739-38614,SS,Carlos,Carlos Correa,Correa,8.704166412353516,24.0,3200,OAK@MIN,MIN,OAK,O,Finger,,,,SS/UTIL
624,75739-135224,OF,Yadiel,Yadiel Hernandez,Hernandez,10.633332994249132,18.0,3100,WSH@LAA,WSH,LAA,,,,,,OF/UTIL
629,75739-13638,2B/3B,Wilmer,Wilmer Flores,Flores,9.65652200450068,23.0,3100,STL@SF,SF,STL,,,,,,2B/3B/UTIL
630,75739-21874,2B/SS,Jorge,Jorge Polanco,Polanco,8.4,25.0,3100,OAK@MIN,MIN,OAK,,,,,,2B/SS/UTIL
631,75739-79249,OF,Harrison,Harrison Bader,Bader,7.755999755859375,25.0,3100,STL@SF,STL,SF,,,,,,OF/UTIL
632,75739-13792,OF/2B,Kike,Kike Hernandez,Hernandez,8.22499974568685,24.0,3100,CWS@BOS,BOS,CWS,IL,Illness,,,0.0,2B/OF/UTIL
633,75739-119345,SS,Jeremy,Jeremy Pena,Pena,10.9375,24.0,3000,DET@HOU,HOU,DET,,,,,7.0,SS/UTIL
634,75739-12961,SS,Brandon,Brandon Crawford,Crawford,8.433333079020182,24.0,3000,STL@SF,SF,STL,,,,,,SS/UTIL
635,75739-82613,2B/SS,Thairo,Thairo Estrada,Estrada,9.287999877929687,25.0,3000,STL@SF,SF,STL,,,,,,2B/SS/UTIL
636,75739-68547,OF,Tyler,Tyler O'Neill,O'Neill,10.379166920979818,24.0,3000,STL@SF,STL,SF,,,,,,OF/UTIL
637,75739-13262,2B/OF,Jurickson,Jurickson Profar,Profar,10.264000244140624,25.0,3000,MIA@SD,SD,MIA,,,,,,2B/OF/UTIL
638,75739-52178,3B,Maikel,Maikel Franco,Franco,7.974074187102141,27.0,3000,WSH@LAA,WSH,LAA,,,,,,3B/UTIL
639,75739-68563,OF,Victor,Victor Robles,Robles,6.291666666666667,24.0,3000,WSH@LAA,WSH,LAA,,,,,,OF/UTIL
640,75739-21633,3B/SS,Eugenio,Eugenio Suarez,Suarez,9.615999755859375,25.0,3000,TB@SEA,SEA,TB,,,,,,3B/SS/UTIL
642,75739-79215,1B,Rhys,Rhys Hoskins,Hoskins,7.88076899601863,26.0,3000,NYM@PHI,PHI,NYM,O,Postponed,,,,C/1B/UTIL
643,75739-21875,OF,Max,Max Kepler,Kepler,9.432000122070312,25.0,3000,OAK@MIN,MIN,OAK,,,,,,OF/UTIL
645,75739-79277,1B,Rowdy,Rowdy Tellez,Tellez,11.96,25.0,3000,MIL@ATL,MIL,ATL,,,,,5.0,C/1B/UTIL
646,75739-79278,2B/3B,Sheldon,Sheldon Neuse,Neuse,9.773913176163385,23.0,3000,OAK@MIN,OAK,MIN,,,,,1.0,2B/3B/UTIL
647,75739-73159,OF,Mitch,Mitch Haniger,Haniger,9.788888719346788,9.0,3000,TB@SEA,SEA,TB,IL,Ankle,,,,OF/UTIL
648,75739-5763,OF,Nelson,Nelson Cruz,Cruz,6.687999877929688,25.0,3000,WSH@LAA,WSH,LAA,DTD,Back,,,,OF/UTIL
650,75739-104483,1B,Jared,Jared Walsh,Walsh,9.08,25.0,2900,WSH@LAA,LAA,WSH,,,,,,C/1B/UTIL
651,75739-14562,2B,Jose,Jose Altuve,Altuve,9.976922842172476,13.0,2900,DET@HOU,HOU,DET,,,,,1.0,2B/UTIL
652,75739-23107,OF,Jorge,Jorge Soler,Soler,7.175999755859375,25.0,2900,MIA@SD,MIA,SD,,,,,,OF/UTIL
653,75739-82533,OF/C,Daulton,Daulton Varsho,Varsho,9.792307927058292,26.0,2900,COL@ARI,ARI,COL,,,,,,C/1B/OF/UTIL
655,75739-82624,C,Sean,Sean Murphy,Murphy,9.66249974568685,24.0,2900,OAK@MIN,OAK,MIN,,,,,3.0,C/1B/UTIL
657,75739-82644,OF,Jesus,Jesus Sanchez,Sanchez,8.708333333333334,24.0,2900,MIA@SD,MIA,SD,,,,,,OF/UTIL
659,75739-82977,3B/SS,Isiah,Isiah Kiner-Falefa,Kiner-Falefa,8.108695652173912,23.0,2900,TEX@NYY,NYY,TEX,O,Postponed,,,,3B/SS/UTIL
