Player,FP,Salary,Value,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Yds,TDs,TGTS
"Allen Robinson GTD",0.0,"$6,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Taiwan Jones ",0.0,"$4,500",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Nick Foles ",0.0,"$6,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mitchell Trubisky ",0.0,"$6,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Alvin Kamara GTD",0.0,"$9,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Dillon Stoner ",0.0,"$4,500",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Daniel Helm ",0.0,"$4,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Davis Webb ",0.0,"$6,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Garrett Griffin ",0.0,"$4,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Corey Clement ",0.0,"$4,600",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jeremy Sprinkle ",0.0,"$4,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tom Kennedy ",0.0,"$4,600",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
